                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.91415,                0.58935,                 1.2285,                0.93018,                0.93168,                0.96879,                0.64341,                 1.2747,                0.51059,                 1.6295,             9.2328e-06,             9.2328e-06,             9.2328e-06
                     33,                0.91744,                0.56888,                  1.234,                0.94213,                0.94582,                0.97264,                0.64221,                 1.2952,                0.51013,                 1.6514,              9.208e-06,              9.208e-06,              9.208e-06
                     34,                0.90942,                0.57696,                 1.2227,                 0.9407,                0.95055,                0.97783,                0.64247,                  1.282,                0.51824,                 1.6102,             9.1833e-06,             9.1833e-06,             9.1833e-06
                     35,                0.91625,                0.59448,                 1.2204,                 0.9669,                0.96488,                0.98729,                0.66668,                 1.2324,                0.47502,                 1.6115,             9.1585e-06,             9.1585e-06,             9.1585e-06
                     36,                0.89046,                0.57408,                 1.2101,                0.97747,                0.96036,                0.98646,                0.65853,                  1.252,                 0.4581,                 1.6186,             9.1338e-06,             9.1338e-06,             9.1338e-06
                     37,                0.89213,                0.58616,                  1.204,                0.95964,                0.92736,                0.97303,                0.64417,                 1.2979,                0.51157,                 1.6672,              9.109e-06,              9.109e-06,              9.109e-06
                     38,                0.87868,                0.56801,                 1.2013,                0.95223,                0.94982,                0.97424,                0.65942,                 1.2719,                0.48381,                  1.654,             9.0843e-06,             9.0843e-06,             9.0843e-06
                     39,                0.86336,                0.56256,                 1.2007,                0.95947,                0.94396,                0.98127,                0.65017,                 1.2542,                0.45919,                  1.623,             9.0595e-06,             9.0595e-06,             9.0595e-06
                     40,                0.86735,                0.55515,                 1.1966,                0.94096,                0.97242,                0.98537,                0.65817,                 1.2466,                 0.4708,                  1.638,             9.0348e-06,             9.0348e-06,             9.0348e-06
                     41,                0.85844,                0.54684,                 1.1876,                0.97007,                0.95615,                0.98167,                0.65385,                 1.2408,                0.46702,                 1.6447,               9.01e-06,               9.01e-06,               9.01e-06
                     42,                0.83058,                0.52966,                  1.182,                0.96352,                0.94338,                0.98021,                0.65666,                 1.2569,                0.47396,                 1.6416,             8.9853e-06,             8.9853e-06,             8.9853e-06
                     43,                0.84311,                0.53283,                 1.1781,                0.96512,                 0.9251,                0.97999,                0.63526,                 1.2999,                0.50114,                 1.6566,             8.9605e-06,             8.9605e-06,             8.9605e-06
                     44,                0.83682,                0.53309,                 1.1623,                0.95666,                0.95545,                0.97863,                0.63313,                 1.3029,                0.50122,                 1.6655,             8.9358e-06,             8.9358e-06,             8.9358e-06
                     45,                0.81894,                0.51475,                  1.152,                0.91692,                0.95401,                0.97268,                0.63335,                 1.2897,                0.47402,                 1.7044,              8.911e-06,              8.911e-06,              8.911e-06
                     46,                 0.8239,                0.51252,                 1.1575,                 0.9245,                0.94124,                0.97482,                0.64019,                 1.3161,                0.46923,                 1.7496,             8.8863e-06,             8.8863e-06,             8.8863e-06
                     47,                0.82195,                0.51384,                  1.165,                0.95501,                0.95333,                0.98061,                0.63906,                 1.2962,                0.45423,                 1.7057,             8.8615e-06,             8.8615e-06,             8.8615e-06
                     48,                 0.8144,                 0.5137,                 1.1573,                0.94918,                0.93417,                  0.975,                 0.6448,                  1.279,                 0.4842,                 1.7301,             8.8368e-06,             8.8368e-06,             8.8368e-06
                     49,                0.80364,                0.50232,                 1.1412,                0.91324,                0.93826,                0.97109,                0.63277,                 1.2992,                 0.4995,                 1.7384,              8.812e-06,              8.812e-06,              8.812e-06
                     50,                 0.8097,                0.50258,                 1.1537,                0.95662,                0.92029,                0.97322,                0.63002,                 1.2913,                0.46324,                 1.7405,             8.7873e-06,             8.7873e-06,             8.7873e-06
                     51,                0.79829,                0.49554,                 1.1453,                 0.9516,                0.92631,                0.97223,                0.64109,                 1.2992,                0.49738,                 1.7069,             8.7625e-06,             8.7625e-06,             8.7625e-06
                     52,                 0.7966,                0.50011,                  1.149,                0.96496,                 0.9414,                0.97817,                0.63245,                  1.309,                0.46649,                 1.7696,             8.7378e-06,             8.7378e-06,             8.7378e-06
                     53,                0.79906,                0.49158,                  1.158,                 0.9597,                0.93772,                0.97634,                0.65565,                 1.2391,                0.47845,                 1.7164,              8.713e-06,              8.713e-06,              8.713e-06
