RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
394739,618,"Kendallville, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999886901,1.000585823,1.004353337,1.004353337,1.003767514
394379,619,"Bemidji, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986313099,0.991483809,1.000255739,1.000196194,1.002117224
394887,622,"Mount Sterling, KY",msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984191009,0.992424242,0.98799663,0.98799663,0.981576798,0.993580168,0.989467614,0.990816723,0.978442333,0.973331608,0.970650393,0.977687892,0.984492275,0.987945911,0.993282802,0.995701698
395208,623,"Washington, NC",msa,NC,,,,,,,,,,,,,0.931850969,0.937254141,0.952319392,0.964890269,0.966793141,0.967927045,0.952525338,0.951818004,0.955365229,0.959571692,0.95388791,0.955220756,0.960974466,0.969748587,0.962472281,0.961954202,0.959895197,0.96178679,0.963856988,0.96549463,0.969685172,0.969402889,0.975382429,0.975423794,0.978213363,0.983111834,0.982712616,0.981538779,0.975526755,0.981361147,0.986745249,0.978900557,0.97223389,0.967459204,0.981315921,0.982466363,0.986705559,0.983297243,0.988278329,0.992723212,0.996131528
753865,627,"Bardstown, KY",msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999901932,0.999901932,0.999901932,0.996078431,0.996078431,0.996078431,1,1,1,1,0.99454517,0.99454517,0.99454517,0.994949495,0.994949495,0.994949495,1,1,0.995289915
395017,629,"Red Wing, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,0.992593308,0.998054745,0.998695085,0.997027584,0.997027584,0.9983325,1,1,1,1,1,1,1,1,1.004886518,1.009349669,1.013895124,1.009008606,1.004545455,1,1,0.99612697,0.99612697,0.99612697,1,1.002138828,1.00217852,1.005128373,1.002989544
394500,632,"Cornelia, GA",msa,GA,0.981609573,0.976860708,0.981025709,0.978576036,0.983959222,0.985878123,0.986205685,0.982811439,0.978677937,0.985442574,0.983136544,0.988256566,0.975666127,0.978457217,0.977893249,0.982137548,0.97900019,0.978091973,0.979358416,0.97707313,0.977862763,0.974189772,0.976285425,0.97602529,0.981441977,0.98849665,0.98797823,0.988233286,0.983096634,0.982957524,0.984564799,0.988419399,0.992354748,0.995828418,0.993909188,0.996798719,0.996798719,1,1,1,1,0.999382487,0.999382487,0.999382487,1,1.001169591,1.001169591,1.001169591,1.000133387,1.000133387,1.000133387,1,1
395201,636,"Wapakoneta, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982578976,0.993703445,0.987988331,0.986562765,0.986562765,0.992882749,0.998498498,0.998498498,1,0.996071499,0.989166288,0.979489945,0.98132463,0.98822984,0.997906183,1,1.000000667
753889,637,"Hillsdale, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000098554,1.000098554
394961,638,"Paragould, AR",msa,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988996671,0.9950911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986111111
394375,640,"Bedford, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989150579,0.988946155,0.991515152,0.991515152,1.000147502,1.000147502,1.000147502,1,1,0.997633601,0.996820196,0.996820196,0.992989793,0.992498282,0.992498282,0.998695085,1,1
394426,641,"Burley, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.999025341,1.002058183,1.002058183,1.003032842,1,1
394377,644,"Bellefontaine, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992732937,0.992732937,0.99827187,0.999249625,0.997768143
394779,652,"Lawrenceburg, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987849119,0.991436826,0.995224704,1,0.996971995,0.996971995,0.993627514,0.988864756,0.988864756,0.977802208,0.979547525,0.965357065,0.978602655,0.974619364,0.985180854,0.98498175,0.992971591
395037,653,"Rolla, MO",msa,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979339461,0.98848775,0.99516109,0.997775311,1,1,1,1,1,0.994459099,0.994459099,0.988665126,0.989059341,0.987704328,0.9934983,0.998644986,1,1
395034,655,"Rockingham, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998957519,0.998957519,0.996956185,0.98840634,0.98840634
395087,657,"Seymour, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,0.980062517,0.979988191,0.981784445,0.993252335,0.99747504,0.99747504,0.996474373,0.994128381,0.994128381,0.991942305,0.995319326,0.995319326,0.997224018,0.996094752,0.996094752,0.997495936,1.004570564,1.004570564,1.004451432,1.000231649,1.000231649,1.000231649,1,0.992312431,0.992312431,0.992312431,1,1,1,1
394384,658,"Big Rapids, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982151268,0.981835084,0.982322009,0.984706595,0.988886496,0.995293107,0.989662508,0.978290796,0.978916056,0.988628287,1.00014353,1.00014353,1.00014353,1.000897066,1.000897066,1.000897066,0.992481203,0.992481203,0.991744598,0.999263395,0.992423221,0.993159826,0.993159826,1.00011909,1.00011909,1.00011909
394616,659,"Freeport, IL",msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.954553317,0.958005244,0.966566785,0.985349854,0.984228371,0.993127148,0.993127148,0.996124031,0.984738087,0.975124589,0.967506305,0.97000336,0.976696541,0.988190794,0.9952747,0.998195017
394842,660,"McAlester, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957455206,0.952117364,0.968449583,0.979000727,0.987157725,0.990056276,0.989694842,0.985286715,0.977156633,0.976366957,0.973791897,0.973591353,0.967915945,0.970878274,0.969621571,0.981540682,0.979780232
394349,661,"Auburn, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.017242661,1.01752067,1.009189079
394990,663,"Ponca City, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97999059,0.981386858,0.988491397,0.992451483,0.986632473
395129,664,"Stephenville, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97840803,0.971162331,0.990770174,0.992754301,1
395228,665,"Willmar, MN",msa,MN,,0.982565373,0.987783934,0.985417609,0.987712256,0.977780617,0.978711215,0.975444456,0.980774127,0.985214891,0.986218007,0.987213758,0.979144984,0.979054259,0.975701797,0.983303592,0.986485338,0.988340803,0.97950663,0.975563323,0.968956314,0.979101349,0.979287805,0.984916255,0.977741956,0.977988785,0.975869389,0.974676616,0.974029164,0.981199793,0.986521176,0.988854153,0.985655066,0.98461886,0.990338067,0.989130087,0.990432984,0.990432984,0.997221003,1,1,1.005722472,1.005938253,1.005938253,1.00021578,0.999999631,0.999999631,0.999999631,1,0.991795922,1.003085231,1.00840741,1.022180322
394448,667,"Cedartown, GA",msa,GA,,,,,,,,,,,,,,,,,0.985739858,0.98283453,0.976920738,0.978873038,0.974516653,0.972743059,0.969997722,0.97912738,0.987462016,0.993184492,0.989970493,0.984962146,0.987335883,0.987991653,0.993,0.994666667,1,0.999215225,0.997211217,0.996273424,0.997058199,0.999062207,1,1.00648872,1.00648872,1.006632576,1.000143856,0.994589666,0.984002993,0.984002993,0.989557183,0.998571429,0.996879381,0.993180504,0.990290893,0.991982941,0.986247856
394476,669,"Clewiston, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974052367,0.991619634,0.965902296,0.967285474,0.959685039,0.972194901,0.963086638,0.953219824,0.956010634,0.959537468,0.967547977,0.968037314,0.971606921,0.977339729,0.972191681,0.965810676,0.949534608,0.950712504,0.944787326,0.956479372,0.95076901,0.950509004,0.944632561,0.954772617,0.967913896,0.971239898
394934,674,"Okeechobee, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991373644,0.984755587,0.981725284,0.990351639,0.987997285,0.987428932,0.987428932,0.985670237,0.974922902
395230,676,"Wilmington, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986063861,0.989290936,0.989290936,1.001515152,1.001515152,1.001660881,0.996854277,0.993051356,0.992905626,0.996197079,0.99110874,0.99110874,0.99110874,1.000686293,1.000686293,1.000686293
394845,678,"McMinnville, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987854776,0.987581373,0.989446577,0.989504068,0.995031036,1.000058186,1.000000694,1.000000694,1,1,0.997438763,0.988837745,0.983225131,0.985786368,0.994387386,1,1,1
394624,679,"Gainesville, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931484335,0.992090395,1.001801802,1.001801802,1.001801802
394881,683,"Moscow, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03331802,1.031003205,1.014555053,1
394341,685,"Astoria, OR",msa,OR,0.976230429,0.977191494,0.984228927,0.990049559,0.987695856,0.982795573,0.978072814,0.976223779,0.977811081,0.977008035,0.97961186,0.981908819,0.985453237,0.986073523,0.98943849,0.992495006,0.991554117,0.98878686,0.983399953,0.97386705,0.969556055,0.96999604,0.981517759,0.980992565,0.982068841,0.978846041,0.979290655,0.980458313,0.98369341,0.989788564,0.994117569,0.99818555,0.99719888,0.99719888,0.99719888,1,1,1,1,1.003886535,1.009132124,1.009132124,1.005245589,1,1.001518603,1.001518603,1.001518603,1.000000565,1.002550043,1.002550043,1.002549478,1.004048583,1.004048583
395219,689,"West Plains, MO",msa,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963757782,0.963219007,0.96918673,0.966922005,0.962568036,0.963946261,0.968881684,0.972748373,0.965613077,0.961623556,0.970073275,0.980291215,0.984784338,0.989417082,0.989779153,0.985024862,0.977969174,0.976615463,0.979827276,0.983694558,0.972434477,0.971256887,0.967727367,0.979204198,0.987436461,0.988955759
394354,690,"Austin, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991461016,1,1.000112086,1.006435324,1.00648509
