RegionID,SizeRank,RegionName,RegionType,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
394823,378,"Mankato, MN",msa,MN,224400,222900,224667,226300,227867,229833,233200,237533,235867,232500,231567,234900,239917,243683,243683,245333,246567,249900,249900,249900,249900,249900,249900,249900,249900,253100,259633,264667,269000,269133,272600,275067,275067,272567,264233,257417,250783,249117,249267,249900,252333,255683,258117,254517,254500,252100,255117,246400,241400,243833,252900,261050,262263,275213,281879,281417,272217
394369,379,"Bay City, MI",msa,MI,89932,90449,90882,93550,96367,102133,102767,104367,106500,111033,112767,109433,105417,102100,100433,101617,106600,112050,117017,120350,121567,120900,116083,111083,104783,100967,99300,101300,104783,110116,116750,121933,125550,125417,123717,119783,120283,121467,124817,122783,131600,136567,142750,139417,139117,137800,132833,128133,123267,121583,119917,126583,136367,145733,148900,149117,151450
394620,380,"Gadsden, AL",msa,AL,153233,151600,151158,152383,152350,151125,149900,149900,151433,154767,158100,159900,159900,158417,157583,157283,160433,164600,168233,170900,170900,168933,167933,167933,169900,169900,169600,172867,176200,179683,179783,179783,179933,176567,173233,169900,169900,169900,169900,174900,178233,184083,189083,203267,214917,219250,210083,200617,189950,189950,188617,188817,187983,196133,208967,216483,218300
394794,381,"Lima, OH",msa,OH,97783,97317,98133,108150,115283,124783,124600,126267,125867,127683,129350,129900,129833,129833,132845,136245,142912,147533,152550,152550,153183,149850,146517,144917,144433,140633,134000,132483,137967,145967,151283,153967,156800,158467,160467,156617,151650,147400,142050,133717,128267,126600,119600,112600,107633,116300,120667,123983,123983,122983,134633,153300,170267,173300,176267,183766,185682
753915,382,"Salem, OH",msa,OH,102533,97083,95683,96383,103083,109333,114667,117167,117800,119100,119500,119350,119350,118950,118467,118467,120967,124933,129133,130467,130317,127783,124617,120433,112967,108133,104167,108500,113500,121983,126783,131267,131450,131150,131633,132967,133283,128283,119950,119950,126467,136433,142283,140800,139167,133317,131633,129967,126617,120300,118633,124317,140133,153100,160750,162900,155600
394709,383,"Ithaca, NY",msa,NY,257967,248633,245600,253267,257567,260900,256583,258250,251583,244600,239300,238333,237000,236333,242983,254317,261800,261900,260050,258900,258983,254167,251833,247667,246167,243150,250483,258967,269317,278650,283667,286633,278300,269967,268300,263450,266117,269483,283833,292833,297833,298000,296333,287000,280333,273500,272500,265833,264333,271333,293333,321500,341167,342833,334650,331817,330150
394462,384,"Cheyenne, WY",msa,WY,273300,276917,276750,280083,279833,281633,281633,281967,281333,279000,277000,274327,274810,274810,279815,281665,286198,290033,294000,297799,300599,303299,304967,307500,310833,314667,318033,326033,336700,344133,347100,342517,337217,330067,323483,318817,317483,330483,342050,348717,335717,335783,336633,351633,354667,356333,348000,336667,330000,338333,348000,363000,366333,371633,371633,376300,386000
394637,385,"Grand Forks, ND",msa,MN,226533,228200,229833,231567,236900,243267,247967,245967,240355,232322,227322,223250,222250,220283,220267,222100,224067,225733,224933,223267,223283,221583,219917,216567,214750,213083,211600,211783,215150,221633,226600,229917,228283,228150,221483,213117,203133,199783,201450,208267,216600,228267,234900,239933,239933,243267,244900,244417,244117,245483,254233,255300,253967,252400,249000,245667,235633
394689,386,"Hot Springs, AR",msa,AR,204317,204617,205967,206967,213333,216667,217633,215967,209600,207933,203233,202933,199600,196967,195600,195467,203133,211500,220000,224967,227267,227233,223933,221633,223000,224650,224817,225133,226483,230817,232500,235833,236667,238000,241633,249450,254767,254767,254617,252967,256000,252967,255967,264633,277750,287750,289083,289300,289117,285433,286133,282983,285333,284667,291633,296633,295967
394518,387,"Danville, VA",msa,VA,119267,118417,117267,118200,118200,121050,124633,127967,129600,129900,129900,129900,129900,129900,129900,129900,129900,129900,131567,133750,133750,130750,127433,127433,125783,123783,122800,125150,126650,129333,133300,135717,135717,133917,138150,143117,149950,154633,154633,152933,149600,149600,152933,156417,156417,156417,153233,153233,149900,158233,161417,168117,166450,169933,170600,173933,177283
