Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Fresh fruit,Oranges,Oranges
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Fresh fruit,Bananas,Bananas
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Fresh fruit,Other fresh fruit,Other fresh fruit
5,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,,Preserved fruit and fruit preparations
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,Fruit juices,Fruit juices
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,Other preserved fruit and fruit preparations,Other preserved fruit and fruit preparations
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,"Jam, jelly and other preserves (2013=100)","Jam, jelly and other preserves (2013=100)"
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,Canned fruit (2013=100),Canned fruit (2013=100)
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,Dried and dehydrated fruit (2013=100),Dried and dehydrated fruit (2013=100)
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Preserved fruit and fruit preparations,Frozen fruit (2013=100),Frozen fruit (2013=100)
5,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Nuts and seeds,,Nuts and seeds
6,All-items,Food,Food purchased from stores,"Fruit, fruit preparations and nuts",Nuts and seeds,Nut butter (2013=100),Nut butter (2013=100)
4,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,,,Vegetables and vegetable preparations
5,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Fresh vegetables,,Fresh vegetables
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Fresh vegetables,Potatoes,Potatoes
