Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,"Creams, lotions and cosmetics (2013=100)",,"Creams, lotions and cosmetics (2013=100)"
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Perfume and cologne (2013=100),,Perfume and cologne (2013=100)
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Hair preparations and other toilet preparations (2013=100),,Hair preparations and other toilet preparations (2013=100)
4,All-items,Health and personal care,Personal care,Personal care services,,,Personal care services
2,All-items,"Recreation, education and reading",,,,,"Recreation, education and reading"
3,All-items,"Recreation, education and reading",Recreation,,,,Recreation
4,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),,,Recreational equipment and services (excluding recreational vehicles)
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Sporting and exercise equipment,,Sporting and exercise equipment
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),"Toys, games (excluding video games) and hobby supplies",,"Toys, games (excluding video games) and hobby supplies"
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Digital computing equipment and devices,,Digital computing equipment and devices
6,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Digital computing equipment and devices,"Computer equipment, software and supplies (201104=100)","Computer equipment, software and supplies (201104=100)"
6,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Digital computing equipment and devices,Multipurpose digital devices (201104=100),Multipurpose digital devices (201104=100)
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Photographic equipment and supplies,,Photographic equipment and supplies
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Other recreational equipment,,Other recreational equipment
5,All-items,"Recreation, education and reading",Recreation,Recreational equipment and services (excluding recreational vehicles),Recreational services,,Recreational services
4,All-items,"Recreation, education and reading",Recreation,Purchase and operation of recreational vehicles,,,Purchase and operation of recreational vehicles
5,All-items,"Recreation, education and reading",Recreation,Purchase and operation of recreational vehicles,Purchase of recreational vehicles and outboard motors,,Purchase of recreational vehicles and outboard motors
5,All-items,"Recreation, education and reading",Recreation,Purchase and operation of recreational vehicles,Operation of recreational vehicles,,Operation of recreational vehicles
6,All-items,"Recreation, education and reading",Recreation,Purchase and operation of recreational vehicles,Operation of recreational vehicles,"Fuel, parts and accessories for recreational vehicles","Fuel, parts and accessories for recreational vehicles"
6,All-items,"Recreation, education and reading",Recreation,Purchase and operation of recreational vehicles,Operation of recreational vehicles,"Insurance, licences and other services for recreational vehicles","Insurance, licences and other services for recreational vehicles"
4,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services",,,"Home entertainment equipment, parts and services"
5,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services",Audio equipment,,Audio equipment
5,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services",Video equipment,,Video equipment
5,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services",Rental of digital media,,Rental of digital media
5,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services",Purchase of digital media,,Purchase of digital media
5,All-items,"Recreation, education and reading",Recreation,"Home entertainment equipment, parts and services","Other home entertainment equipment, parts and services",,"Other home entertainment equipment, parts and services"
4,All-items,"Recreation, education and reading",Recreation,Travel services,,,Travel services
5,All-items,"Recreation, education and reading",Recreation,Travel services,Traveller accommodation,,Traveller accommodation
5,All-items,"Recreation, education and reading",Recreation,Travel services,Travel tours,,Travel tours
4,All-items,"Recreation, education and reading",Recreation,Other cultural and recreational services,,,Other cultural and recreational services
5,All-items,"Recreation, education and reading",Recreation,Other cultural and recreational services,Spectator entertainment (excluding video and audio subscription services),,Spectator entertainment (excluding video and audio subscription services)
5,All-items,"Recreation, education and reading",Recreation,Other cultural and recreational services,Video and audio subscription services,,Video and audio subscription services
5,All-items,"Recreation, education and reading",Recreation,Other cultural and recreational services,Use of recreational facilities and services,,Use of recreational facilities and services
3,All-items,"Recreation, education and reading",Education and reading,,,,Education and reading
4,All-items,"Recreation, education and reading",Education and reading,Education,,,Education
5,All-items,"Recreation, education and reading",Education and reading,Education,Tuition fees,,Tuition fees
5,All-items,"Recreation, education and reading",Education and reading,Education,School textbooks and supplies,,School textbooks and supplies
5,All-items,"Recreation, education and reading",Education and reading,Education,"Other lessons, courses and education services",,"Other lessons, courses and education services"
4,All-items,"Recreation, education and reading",Education and reading,Reading material (excluding textbooks),,,Reading material (excluding textbooks)
5,All-items,"Recreation, education and reading",Education and reading,Reading material (excluding textbooks),Newspapers,,Newspapers
5,All-items,"Recreation, education and reading",Education and reading,Reading material (excluding textbooks),Magazines and periodicals,,Magazines and periodicals
5,All-items,"Recreation, education and reading",Education and reading,Reading material (excluding textbooks),Books and reading material (excluding textbooks),,Books and reading material (excluding textbooks)
2,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",,,,,"Alcoholic beverages, tobacco products and recreational cannabis"
3,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,,,,Alcoholic beverages
4,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages served in licensed establishments,,,Alcoholic beverages served in licensed establishments
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages served in licensed establishments,Beer served in licensed establishments,,Beer served in licensed establishments
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages served in licensed establishments,Wine served in licensed establishments,,Wine served in licensed establishments
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages served in licensed establishments,Liquor served in licensed establishments,,Liquor served in licensed establishments
4,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages purchased from stores,,,Alcoholic beverages purchased from stores
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages purchased from stores,Beer purchased from stores,,Beer purchased from stores
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages purchased from stores,Wine purchased from stores,,Wine purchased from stores
5,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Alcoholic beverages,Alcoholic beverages purchased from stores,Liquor purchased from stores,,Liquor purchased from stores
2,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Tobacco products and smokers' supplies,,,,Tobacco products and smokers' supplies
4,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Tobacco products and smokers' supplies,Cigarettes,,,Cigarettes
4,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Tobacco products and smokers' supplies,Other tobacco products and smokers' supplies,,,Other tobacco products and smokers' supplies
4,All-items,"Alcoholic beverages, tobacco products and recreational cannabis",Tobacco products and smokers' supplies,Recreational cannabis (201812=100),,,Recreational cannabis (201812=100)
